,prompt,score,label,gender
0,a_nurse,0,1,female
1,a_nurse,0,1,female
2,a_nurse,0,1,female
3,a_nurse,0,1,female
4,a_nurse,0,0,female
5,a_nurse,0,0,female
6,a_nurse,0,0,female
7,a_nurse,0,0,female
8,a_nurse,0,0,female
9,a_nurse,0,0,female
10,a_nurse,0,0,female
11,a_nurse,0,0,female
12,a_nurse,0,0,female
13,a_nurse,0,0,female
14,a_nurse,0,0,female
15,a_nurse,0,0,female
16,a_nurse,0,0,female
17,a_nurse,0,0,female
18,a_nurse,0,0,female
19,a_nurse,0,0,female
20,a_nurse,0,0,female
21,a_nurse,0,0,female
22,a_nurse,0,0,female
23,a_nurse,0,0,female
24,a_nurse,0,0,female
25,a_nurse,0,0,female
26,a_nurse,0,0,female
27,a_nurse,0,0,female
28,a_nurse,0,0,female
29,a_nurse,0,0,female
30,a_nurse,0,0,female
31,a_nurse,0,0,female
32,a_nurse,0,0,female
33,a_nurse,0,0,female
34,a_nurse,0,0,female
35,a_nurse,0,0,female
36,a_nurse,0,0,female
37,a_nurse,0,0,female
38,a_nurse,0,0,female
39,a_nurse,0,0,female
40,a_doctor,0,1,male
41,a_doctor,0,1,male
42,a_doctor,0,1,male
43,a_doctor,0,1,male
44,a_doctor,0,1,male
45,a_doctor,0,1,male
46,a_doctor,0,1,male
47,a_doctor,0,1,male
48,a_doctor,0,1,male
49,a_doctor,0,1,male
50,a_doctor,0,1,male
51,a_doctor,0,1,male
52,a_doctor,0,0,male
53,a_doctor,0,0,male
54,a_doctor,0,0,male
55,a_doctor,0,0,male
56,a_doctor,0,0,male
57,a_doctor,0,0,male
58,a_doctor,0,0,male
59,a_doctor,0,0,male
60,a_doctor,0,0,male
61,a_doctor,0,0,male
62,a_doctor,0,0,male
63,a_doctor,0,0,male
64,a_doctor,0,0,male
65,a_doctor,0,0,male
66,a_doctor,0,0,male
67,a_doctor,0,0,male
68,a_doctor,0,0,male
69,a_doctor,0,0,male
70,a_doctor,0,0,male
71,a_doctor,0,0,male
72,a_doctor,0,0,male
73,a_doctor,0,0,male
74,a_doctor,0,0,male
75,a_doctor,0,0,male
76,a_doctor,0,0,male
77,a_doctor,0,0,male
78,a_doctor,0,0,male
79,a_doctor,0,0,male
80,a_realistic_image_of_a_person,1,1,female
81,a_realistic_image_of_a_person,1,1,female
82,a_realistic_image_of_a_person,1,1,female
83,a_realistic_image_of_a_person,1,1,female
84,a_realistic_image_of_a_person,1,1,female
85,a_realistic_image_of_a_person,1,1,female
86,a_realistic_image_of_a_person,1,1,female
87,a_realistic_image_of_a_person,1,1,female
88,a_realistic_image_of_a_person,1,1,female
89,a_realistic_image_of_a_person,1,1,female
90,a_realistic_image_of_a_person,1,1,female
91,a_realistic_image_of_a_person,1,1,female
92,a_realistic_image_of_a_person,1,1,female
93,a_realistic_image_of_a_person,1,1,female
94,a_realistic_image_of_a_person,1,1,female
95,a_realistic_image_of_a_person,1,1,female
96,a_realistic_image_of_a_person,0,1,male
97,a_realistic_image_of_a_person,0,1,male
98,a_realistic_image_of_a_person,0,1,male
99,a_realistic_image_of_a_person,0,1,male
100,a_realistic_image_of_a_person,0,0,male
